"","Strain","isolate","plate","well","label_exp","model","param_1","param_2","param_3","param_4","th_gr","em_gr","loss","tot_plate.x","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","tot_plate.y","Strain_nice","ID"
"7570","448","8","4","E3","Richards_isolate_8_plate_19","NL_Richards","0.23072104384477765","4.9564339719207275","0.6255171246402723","38.33030742720799","0.12620305810438368","0.27951379102914675","0.04403915509982254","4E3",1,0,1,0,1,1,0,1,5,"4E3","C. gallinarum","4E3C. gallinarum"
"7571","448","8","4","G5","Richards_isolate_8_plate_4","NL_Richards","2.7965017010125846","2.4085513541115406","0.062314807259428694","281.0458002483717","0.02587231792822944","0.12621576885157434","0.042637781959223436","4G5",0,1,1,0,1,1,1,0,5,"4G5","C. gallinarum","4G5C. gallinarum"
"7572","448","8","5","G3","Richards_isolate_8_plate_20","NL_Richards","0.10687079344689024","4.859273399714642","0.061290823960350516","234.86688912692588","0.012613164531395942","0.07249016286939328","0.019571694464345604","5G3",1,1,0,1,1,1,1,1,7,"5G3","C. gallinarum","5G3C. gallinarum"
"7573","448","8","5","E9","Richards_isolate_8_plate_15","NL_Richards","0.19145364154595515","1.5030924206934386","0.4752852359980029","30.46582476866744","0.3156512500481035","0.40412632545633265","0.014008396685767447","5E9",0,0,0,0,0,0,0,0,0,"5E9","C. gallinarum","5E9C. gallinarum"
"7574","448","8","1","E3","Richards_isolate_8_plate_16","NL_Richards","0.21244522481755285","3.4509730831404144","0.4803434291133896","34.40087841805945","0.1391906965026397","0.2916917245749146","0.040844378837387785","1E3",1,0,1,0,0,0,0,0,2,"1E3","C. gallinarum","1E3C. gallinarum"
"7575","448","8","1","D6","Richards_isolate_8_plate_1","NL_Richards","0.16984402550353558","0.4011696285642268","0.2485160614674661","29.262453936338968","0.49161431233305886","0.5043864764083344","0.0031961287212844396","1D6",0,0,0,1,1,0,0,0,2,"1D6","C. gallinarum","1D6C. gallinarum"
"7576","448","8","5","D4","Richards_isolate_8_plate_15","NL_Richards","1.0384750584752884","4.420740191174455","0.4609451662907432","107.26020256233765","0.10426877544420274","0.17903000035862918","0.03149003231851832","5D4",1,1,1,1,1,1,1,1,8,"5D4","C. gallinarum","5D4C. gallinarum"
"7578","448","8","4","E6","Richards_isolate_8_plate_9","NL_Richards","1.401254245535298","3.8386062509015435","0.13906207584241767","213.68092653904824","0.03622723112320316","0.14393685606864975","0.04516355864962457","4E6",0,1,0,1,1,1,1,0,5,"4E6","C. gallinarum","4E6C. gallinarum"
"7580","448","8","5","F6","Richards_isolate_8_plate_20","NL_Richards","0.1829254071507237","0.562373506432457","0.24254611291872044","31.47626067722064","0.41677460500284735","0.6619654448299951","0.020388265059139765","5F6",0,0,0,0,0,0,0,0,0,"5F6","C. gallinarum","5F6C. gallinarum"
"7581","448","8","1","F7","Richards_isolate_8_plate_1","NL_Richards","0.2206129426259855","3.3805243008514916","0.5937170513678248","33.670479472866724","0.17562868736885895","0.33150754407178984","0.04018141683846728","1F7",0,0,0,0,0,1,0,1,2,"1F7","C. gallinarum","1F7C. gallinarum"
"7582","448","8","3","C3","Richards_isolate_8_plate_13","NL_Richards","0.17937288468808613","2.5517375886229203","0.5749385076193403","32.22127416723918","0.22531219196828414","0.40363589439367326","0.03393968412977834","3C3",0,1,1,1,1,0,0,0,4,"3C3","C. gallinarum","3C3C. gallinarum"
"7584","448","8","3","B6","Richards_isolate_8_plate_18","NL_Richards","0.18889819703922384","2.3514807633923085","0.3938510046489522","34.212851121782776","0.16749005708029446","0.3068311422928457","0.04101796856789783","3B6",0,1,0,0,1,1,0,1,4,"3B6","C. gallinarum","3B6C. gallinarum"
"7586","448","8","2","B11","Richards_isolate_8_plate_17","NL_Richards","0.014328062003974087","0.8045182720978735","0.010201512095770722","144.50904762743906","0.009780655319084577","0.22072759642715736","0.01275143033707184","2B11",1,0,1,0,0,1,1,0,4,"2B11","C. gallinarum","2B11C. gallinarum"
"7588","448","8","3","E5","Richards_isolate_8_plate_3","NL_Richards","0.221138661634606","2.846735532689595","0.4718294016053426","33.95513913155231","0.16574393651462735","0.32914413291334005","0.04395632353065244","3E5",0,1,0,1,0,1,0,1,4,"3E5","C. gallinarum","3E5C. gallinarum"
"7590","448","8","2","D3","Richards_isolate_8_plate_12","NL_Richards","0.18895098997334592","0.4384143558596486","0.24867253542545478","28.930012604710292","0.4267663663896091","0.4068450757421909","0.0012922871786544162","2D3",0,1,0,0,1,0,0,1,3,"2D3","C. gallinarum","2D3C. gallinarum"
"7591","448","8","3","B11","Richards_isolate_8_plate_13","NL_Richards","0.24952273786272583","4.076987563162466","0.6365311321718516","33.65751812146442","0.15612780779229113","0.3102567891067775","0.03862327094882819","3B11",1,1,0,1,1,0,0,1,5,"3B11","C. gallinarum","3B11C. gallinarum"
"7592","448","8","3","F7","Richards_isolate_8_plate_13","NL_Richards","0.22102553273327577","2.557565519241923","0.4855257758491213","32.41255140850031","0.18983861374713326","0.33385899953710774","0.03383673037629576","3F7",0,0,1,0,1,1,0,1,4,"3F7","C. gallinarum","3F7C. gallinarum"
"7593","448","8","2","C11","Richards_isolate_8_plate_7","NL_Richards","0.23222304786304573","4.800925563676931","0.7889024823606887","34.308604432056974","0.16432299811442197","0.30379890082416106","0.0391724674305494","2C11",1,0,1,0,0,1,0,1,4,"2C11","C. gallinarum","2C11C. gallinarum"
"7594","448","8","2","G6","Richards_isolate_8_plate_7","NL_Richards","0.22607636518275173","1.8685969292503326","0.4615852168112272","31.460971422409116","0.24701789587295667","0.49121421930702014","0.046214686120474475","2G6",0,0,0,0,1,1,0,1,3,"2G6","C. gallinarum","2G6C. gallinarum"
"7596","448","8","4","E4","Richards_isolate_8_plate_19","NL_Richards","0.5086391749289347","4.964033925061328","0.09084067132420122","288.7033696238017","0.018299768433385447","0.07759353745325608","0.02568995352197397","4E4",1,0,0,1,0,1,1,1,5,"4E4","C. gallinarum","4E4C. gallinarum"
"7598","448","8","1","G10","Richards_isolate_8_plate_16","NL_Richards","0.24601924345645318","4.547237520578208","0.552741254320944","39.588852691301994","0.12155539518909164","0.29688976370645825","0.03367198533783771","1G10",1,0,0,0,1,0,0,1,3,"1G10","C. gallinarum","1G10C. gallinarum"
"7599","448","8","5","E2","Richards_isolate_8_plate_5","NL_Richards","1.2016449975488304","3.6171756113155578","0.15078211735636224","181.72158462702365","0.04168504202097451","0.15405939446243544","0.04020974590251616","5E2",0,1,1,0,1,1,1,1,6,"5E2","C. gallinarum","5E2C. gallinarum"
"7600","448","8","3","E5","Richards_isolate_8_plate_13","NL_Richards","0.2174956257635872","3.1791857675494786","0.5224783689998111","34.101248951583976","0.16434343623340988","0.3028864098961135","0.035615764831495283","3E5",0,1,0,1,0,1,0,1,4,"3E5","C. gallinarum","3E5C. gallinarum"
"7601","448","8","5","G4","Richards_isolate_8_plate_5","NL_Richards","0.20657469917611093","2.119131907652568","0.4646427185910655","32.369543998162136","0.2192500322006387","0.3342644092801925","0.027481353433658418","5G4",0,0,0,0,0,0,0,0,0,"5G4","C. gallinarum","5G4C. gallinarum"
