"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"159","159_D6_P. baetica 1_",0,0,0,1,1,0,0,0,"P. baetica 1"
"160","160_F2_P. baetica 1_",1,0,1,1,1,0,0,1,"P. baetica 1"
"161","161_B6_P. baetica 1_",0,0,0,1,1,0,0,1,"P. baetica 1"
"162","162_G2_P. baetica 1_",1,0,1,1,0,1,1,0,"P. baetica 1"
"163","163_F2_P. baetica 1_",0,0,0,0,1,0,0,0,"P. baetica 1"
"164","164_C2_P. baetica 1_",0,1,1,1,1,0,1,1,"P. baetica 1"
"165","165_G6_P. baetica 1_",0,1,0,1,1,0,1,1,"P. baetica 1"
"166","166_G4_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"167","167_F10_P. baetica 1_",1,1,0,1,1,1,0,0,"P. baetica 1"
"168","168_G3_P. baetica 1_",1,1,0,1,1,1,1,1,"P. baetica 1"
"169","169_F11_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"170","170_B9_P. baetica 1_",1,1,1,1,0,1,0,1,"P. baetica 1"
"171","171_C2_P. baetica 1_",1,0,0,1,0,1,0,1,"P. baetica 1"
"172","172_E10_P. baetica 1_",1,1,1,0,0,0,1,1,"P. baetica 1"
"173","173_C8_P. baetica 1_",1,1,0,1,0,0,0,0,"P. baetica 1"
"174","174_F3_P. baetica 1_",1,0,1,0,1,0,1,1,"P. baetica 1"
"175","175_C9_P. baetica 1_",1,0,1,0,1,0,0,0,"P. baetica 1"
"176","176_G10_P. baetica 1_",1,0,0,0,1,0,0,1,"P. baetica 1"
"177","177_E2_P. baetica 1_",0,1,0,1,0,1,0,0,"P. baetica 1"
"178","178_G6_P. baetica 1_",0,0,1,1,1,0,0,1,"P. baetica 1"
"179","179_B10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"180","180_C5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"181","181_E5_P. baetica 1_",0,0,1,0,0,0,1,1,"P. baetica 1"
"182","182_E5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"183","183_E3_P. baetica 1_",1,0,1,0,1,1,0,1,"P. baetica 1"
"184","184_C6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"185","185_G10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"186","186_G9_P. baetica 1_",1,1,1,0,1,0,1,0,"P. baetica 1"
"187","187_C8_P. baetica 1_",0,0,0,1,1,1,1,1,"P. baetica 1"
"188","188_B5_P. baetica 1_",0,1,0,1,1,0,1,0,"P. baetica 1"
"189","189_D11_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"190","190_D8_P. baetica 1_",1,1,0,0,1,0,0,0,"P. baetica 1"
"191","191_C10_P. baetica 1_",1,0,1,1,0,0,1,0,"P. baetica 1"
"192","192_B9_P. baetica 1_",1,1,1,1,1,0,0,0,"P. baetica 1"
"193","193_B8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"194","194_D5_P. baetica 1_",0,0,1,0,0,1,0,1,"P. baetica 1"
"195","195_D9_P. baetica 1_",1,0,1,0,0,1,0,0,"P. baetica 1"
"196","196_E10_P. baetica 1_",1,0,1,0,1,1,0,0,"P. baetica 1"
"197","197_F10_P. baetica 1_",1,0,0,0,1,0,1,0,"P. baetica 1"
"198","198_E8_P. baetica 1_",0,0,0,1,1,0,1,1,"P. baetica 1"
"199","199_G8_P. baetica 1_",1,1,0,0,0,0,0,1,"P. baetica 1"
"200","200_F3_P. baetica 1_",1,0,0,1,0,0,0,0,"P. baetica 1"
"201","201_F4_P. baetica 1_",1,0,0,0,1,1,1,1,"P. baetica 1"
"202","202_F4_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"203","203_G10_P. baetica 1_",1,0,0,0,1,0,0,1,"P. baetica 1"
"204","204_D8_P. baetica 1_",0,0,0,1,1,1,0,1,"P. baetica 1"
"205","205_E9_P. baetica 1_",1,0,1,0,0,0,1,0,"P. baetica 1"
"206","206_B7_P. baetica 1_",0,0,1,1,0,1,1,0,"P. baetica 1"
"207","207_E6_P. baetica 1_",0,0,0,1,0,1,0,0,"P. baetica 1"
"208","208_G5_P. baetica 1_",0,0,1,0,0,1,0,0,"P. baetica 1"
"209","209_B10_P. baetica 1_",1,0,1,1,0,1,0,0,"P. baetica 1"
"210","210_C7_P. baetica 1_",0,0,0,0,1,0,1,0,"P. baetica 1"
"211","211_C10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"212","212_E4_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"213","213_D3_P. baetica 1_",1,1,0,0,0,0,0,0,"P. baetica 1"
"214","214_D4_P. baetica 1_",1,1,1,1,1,1,1,1,"P. baetica 1"
"215","215_F6_P. baetica 1_",0,0,0,1,0,0,1,0,"P. baetica 1"
"216","216_C4_P. baetica 1_",1,0,0,1,1,1,0,1,"P. baetica 1"
"217","217_C5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"218","218_G11_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"219","219_E7_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"220","220_G2_P. baetica 1_",0,0,1,1,1,1,1,1,"P. baetica 1"
"221","221_D4_P. baetica 1_",0,1,1,0,0,1,1,0,"P. baetica 1"
"222","222_B9_P. baetica 1_",1,1,1,1,1,0,0,0,"P. baetica 1"
"223","223_C9_P. baetica 1_",1,1,1,1,0,1,0,0,"P. baetica 1"
"224","224_G4_P. baetica 1_",0,1,0,0,1,0,0,0,"P. baetica 1"
"225","225_C6_P. baetica 1_",0,1,0,0,1,0,1,1,"P. baetica 1"
"226","226_B4_P. baetica 1_",0,0,1,1,1,0,0,0,"P. baetica 1"
"227","227_E6_P. baetica 1_",0,1,0,1,1,1,1,0,"P. baetica 1"
"228","228_B9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"229","229_F5_P. baetica 1_",0,1,1,1,0,0,1,1,"P. baetica 1"
"230","230_E6_P. baetica 1_",0,0,0,1,0,1,0,0,"P. baetica 1"
"231","231_B8_P. baetica 1_",0,0,1,0,1,1,1,1,"P. baetica 1"
"232","232_B3_P. baetica 1_",1,0,0,0,0,1,1,1,"P. baetica 1"
"233","233_D7_P. baetica 1_",0,0,0,0,1,0,0,1,"P. baetica 1"
"234","234_D2_P. baetica 1_",1,0,1,1,1,1,0,0,"P. baetica 1"
"235","235_E6_P. baetica 1_",0,0,0,1,0,0,1,1,"P. baetica 1"
"236","236_B10_P. baetica 1_",1,1,0,1,1,1,1,0,"P. baetica 1"
"237","237_G8_P. baetica 1_",1,1,0,0,0,0,0,1,"P. baetica 1"
"238","238_C10_P. baetica 1_",1,0,0,1,0,0,1,0,"P. baetica 1"
"239","239_E10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"240","240_F11_P. baetica 1_",1,1,0,0,1,1,1,0,"P. baetica 1"
"241","241_D2_P. baetica 1_",0,0,1,0,0,0,0,0,"P. baetica 1"
"242","242_C2_P. baetica 1_",0,1,1,0,0,0,0,1,"P. baetica 1"
"243","243_D9_P. baetica 1_",1,0,1,0,0,1,0,0,"P. baetica 1"
"244","244_G5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"245","245_D11_P. baetica 1_",1,1,0,1,0,1,0,1,"P. baetica 1"
"246","246_B7_P. baetica 1_",0,0,0,0,1,1,0,0,"P. baetica 1"
"247","247_C9_P. baetica 1_",1,1,1,1,0,1,0,0,"P. baetica 1"
"248","248_C3_P. baetica 1_",1,0,1,1,0,0,1,1,"P. baetica 1"
"249","249_F7_P. baetica 1_",0,0,1,1,1,0,1,1,"P. baetica 1"
"250","250_D3_P. baetica 1_",1,1,1,1,1,0,1,1,"P. baetica 1"
"251","251_F3_P. baetica 1_",0,1,0,0,0,1,0,1,"P. baetica 1"
